スレ数,ID,コメント,投稿時刻
20,ID:XnjRFtOha,ナナチならべラフが毎日キメまくってるよ  それともミーティと違って吸ったら無くなるから見て愛でるだけか？,2018/11/09 23:47:22
21,ID:jo9bSMr70,ファプタの腕持っていったら真っ最中でレグが泣きながらドシガタするよ,2018/11/10 0:16:44
22,ID:dRVI3bz+p,ファプタの腕持ちレグ  レグの腕持ちリコ,2018/11/10 0:19:21
23,ID:3dJo9zfBa,今まで気づかなかったけどちゃんと常にレグの腕持ってたんだな  https://i.imgur.com/W4YRS48.jpg,2018/11/10 0:28:15
24,ID:rcjX8N/od,ファプタがリコの持ってる腕見付けて勘違いする展開,2018/11/10 0:32:51
25,ID:oKyiddTq0,レグ腕はちゃんと感覚はあるそうなのでいつでもリコのお尻に触れるんだよね  触ってるようにしか見えないコマがあったと思う,2018/11/10 0:37:27
26,ID:dRVI3bz+p,住民根絶やし派のファプタと住民と仲良くなっちゃったリコを否が応でも対立させるにはリコさんが持つレグ腕を見られるのが手っ取り早いしね,2018/11/10 0:38:24
27,ID:ojM9pAei0,>>25  なら最初の邂逅の時にやられてるでしょ,2018/11/10 0:45:38
28,ID:wv2sd5LS0,カバンとかに仕舞ってて見えなかった可能性も,2018/11/10 0:47:41
29,ID:nuaY5IvhM,>>26  今原作手元に無いから確認できないが、あれはファントムペインの描写じゃないか？   手の感覚をBluetoothしてたら凄すぎるぞ,2018/11/10 1:02:58
30,ID:3dJo9zfBa,>>30  ボ卿に遠隔火葬砲でトドメ刺しただろ  レグが足から放った奴じゃなくてそれを避けたボ卿を撃ったリコさんの抱えたレグ腕で,2018/11/10 1:07:37
31,ID:4CiZrvnw0,>>31  両足からも出せたって事は、他にも発射口があると思うんだ…普通は両足よりも相応しい場所があるだろ？,2018/11/10 1:09:09
32,ID:elOwMp+N0,チクビームですよね,2018/11/10 1:13:49
33,ID:kQr17x640,コウシンハありましたカ？,2018/11/10 1:14:30
34,ID:jo9bSMr70,2回も穿られたから次こそはヘソビームで撃退するはずだ,2018/11/10 1:14:53
35,ID:ojM9pAei0,ヒーローにでもなるつもりか,2018/11/10 1:19:22
36,ID:nuaY5IvhM,>>31  あれリコが照準でレグがトリガーだとめっちゃ危険だよなぁとか思って勝手にリコがトリガーもやってたと思う事にしてたけど、リコの意思で撃てる訳ないか...  あぁでも腕の感覚あるなら腕を叩くとかで発射タイミングは伝えられるから大丈夫か   そもそもレグ君のエネルギーは何処に溜めてるのかとか思うけ、遺物は理屈を超えるから意味の無い話だな,2018/11/10 1:22:41
37,ID:3dJo9zfBa,わかんね？,2018/11/10 1:24:49
38,ID:UKZTyDfB0,更新まあああああああああああ？,2018/11/10 1:39:13
39,ID:IqssOnxk0,わかんね？更新延期だよ,2018/11/10 1:41:36
40,ID:dRVI3bz+p,あたしたちを...騙したの...？,2018/11/10 1:59:57
41,ID:4CiZrvnw0,>>37  リコは初戦闘で暁に至る天蓋の装甲の隙間を狙える程の天才的スナイパーな訳だが  装備さえ潤沢なら最強なんじゃないかと思う,2018/11/10 2:14:18
42,ID:h3yD8UW80,射撃卿 絶倫のレグ,2018/11/10 2:17:14
43,ID:mEK4y5+m0,俺ごと全部売り払ってナナチ貰うわ,2018/11/10 2:39:38
44,ID:60O+YuyCd,ナナチの毛一本分にもならないそす,2018/11/10 2:48:31
45,ID:KLYBMJ9M0,ボ「〝暁に至る天蓋〟の隙間の位置を、なぜ知っていたのですか？」  リ「前に血がついていたのを見たの」  ボ「たったそれだけで、この一撃に賭けたというのですか？素晴らしい・・・！」,2018/11/10 3:22:33
46,ID:GfX6+Hbq0,ゴトウかよ,2018/11/10 3:24:09
47,ID:1K7AMeGQd,ボ卿なら後藤に勝てるかな,2018/11/10 4:56:24
48,ID:ZQgLSieyK,（おやおやおや。無傷で受け止められるほど私の装備はぬるくありません。彼の能力が関係していますね……）,2018/11/10 5:11:37
49,ID:f5oL+PTex,オキニの風俗嬢が当日ドタキャンしやがった  しかもLINE送っても未読スルーマジでぶち殺してえ,2018/11/10 7:15:22
50,ID:HpCM+xir0,？？？｢全然更新してないじゃん！？｣  　？？｢いや、申し訳ない！！｣  ？？？｢全然更新してないじゃん！？｣  　？？｢いや、申し訳ない！！｣  ？？？｢全然更新してないじゃん！？｣  　？？｢いや、申し訳ない！！｣  ？？？｢全然更新してないじゃん！？｣  　 　？｢んなぁ・・・｣  ？？？｢ナナチはかわいいですね。｣ 👀Rock54: Caution(BBR-MD5:1341adc37120578f18dba9451e6c8c3b),2018/11/10 7:29:37
51,ID:N+FHPiUj0,>>50  まだ人間の女性で満足してるの？,2018/11/10 7:34:16
52,ID:g/JBRK3E0,>>41  とんでもない  今回の延期が次の10日後の更新に繋がるのです,2018/11/10 8:07:03
53,ID:cb7753Ad0,2000年後か…,2018/11/10 8:32:20
54,ID:QhtTfggf0,「まじゃすま」が"食われる"なら  ムーギィさんがリコに注文の品出した時の「えじゃすま」は”食べる”なのかな  「ま」と「え」で受け身か能動かを示して、残りが食べる事そのものを示してるとか？,2018/11/10 8:48:31
55,ID:b8G1Edly0,速く更新しろおおおお！,2018/11/10 9:09:26
56,ID:QlsexLRKd,んなぁ！今日更新じゃん！,2018/11/10 9:35:17
57,ID:jGcI/gcZM,更新ナナチの文言が一字一句変わらないから、毎日書かれてるような気がする,2018/11/10 9:38:50
58,ID:85jrvrEsM,ｺｳｼﾝ…ｺｳｼﾝ…ｽﾞﾘｭ…ｽﾞﾘｭ,2018/11/10 9:53:53
59,ID:lSLp6mr20,更新どこ･･･ここ･･･？,2018/11/10 10:00:45
60,ID:e7T0B6xjd,ここですよプルシュカ,2018/11/10 10:02:48
61,ID:lSLp6mr20,んなぁ！更新きてんじゃん！,2018/11/10 10:07:37
62,ID:QlsexLRKd,焼却ッ,2018/11/10 10:11:34
63,ID:gDaEHseP0,ワズキャンってさ、クオンガタリ見つけたら多分喰うよね,2018/11/10 10:12:35
64,ID:igEUKEpLH,隙あらばコウシンガタリ,2018/11/10 10:22:17
65,ID:J4GwK36Yd,>>16  ぐう痛そう,2018/11/10 10:23:12
66,ID:olMswjGZ0,土曜日か…絶望…,2018/11/10 10:39:06
67,ID:UliwhgCK0,更新ないの？  悲しい,2018/11/10 10:44:50
68,ID:dXZJY3gI0,どぉしてだよォォォォォ！？,2018/11/10 10:53:07
69,ID:85jrvrEsM,ｺﾅｲ…ｺﾅｲ…,2018/11/10 10:54:28
70,ID:zdh/t61R0,大丈夫だよ… あたし耐えるから…,2018/11/10 11:11:07
71,ID:e2FLjhZUM,パパ…あたし…更新がみたい…,2018/11/10 11:18:53
72,ID:UKZTyDfB0,更新まああああああああああああ！？,2018/11/10 11:23:03
73,ID:QlsexLRKd,私待つわ  いつまでも待つわ,2018/11/10 11:24:13
74,ID:dA6CAQMGr,いきなり訃報出てきて悲しくなった  御冥福をお祈りします,2018/11/10 11:40:48
75,ID:dCZzynV10,そんなに更新が好きならお前自身で更新してみろ・・・！,2018/11/10 12:06:20
76,ID:q6zhLYtv0,うんと延ばして更新来たと勘違いさせねえ？,2018/11/10 12:09:56
77,ID:GvhuutrY0,新しいタイプのコウシンガタリ来たな,2018/11/10 12:12:36
78,ID:KIfY37WZ0,コウシンガタリ片っ端からＩＰごとＮＧしてるんだが  こいつら潰しても潰してもキリがねぇ・・・,2018/11/10 12:19:25
79,ID:2GyS4UEA0,コウシンガタリは無数にいるから一つ一つ潰しても無駄だぞ,2018/11/10 12:25:35
80,ID:blPafTSTa,このスレにコロニーが作られてるからね  ほらほら祈手、燃焼剤足りねーぞ,2018/11/10 12:27:35
81,ID:/blXQA2Q0,ある晴れた昼下がり  奈落へ続く道  滑車がゴトゴト  ナナチを乗せてゆく  かわいいナナチ売られてゆくよ  嬉しそうな瞳で見ているよ,2018/11/10 12:42:19
82,ID:pUE2EcCvd,んなんなんなーんーなー,2018/11/10 12:46:53
83,ID:e2FLjhZUM,ナナチをのーせーてー,2018/11/10 12:49:20
84,ID:jo9bSMr70,更新されなければされないほどにナナチの死亡率が高まっていくのだ,2018/11/10 12:56:38
85,ID:rV0HcF75D,ボ卿,2018/11/10 13:00:42
86,ID:re/o8jY+a,１０日後また来るわ,2018/11/10 13:04:46
87,ID:8wxAdDIWF,今まで何時頃更新だった？,2018/11/10 13:05:41
88,ID:QpOMfHH7M,土曜日って更新来るっけ？,2018/11/10 13:09:43
89,ID:6fycRAOf0,23:59までには更新してたかな,2018/11/10 13:09:54
90,ID:pUE2EcCvd,午前10時前後、つーか他の連載漫画は更新されてるからこれから来る可能性は薄い  それにしても更新された他の漫画が何て言うか…アレで…アビスの足しにもならん…もっと頑張って描いてくれぇ,2018/11/10 13:11:12
91,ID:MLiExoXAp,つくし卿のツイッタ、一週間前から止まってるから、更新の仕上げの修羅場と思ってたんだが  まあ後10日待つか,2018/11/10 13:21:02
92,ID:6fycRAOf0,オイラ待つぜ  いつまでも待つぜ,2018/11/10 13:23:24
93,ID:GvhuutrY0,完成度高めの配信の数日後にサブ垢での活動が活発化したから無事脱稿したと思ってるが...,2018/11/10 13:25:04
94,ID:gDaEHseP0,脱肛はさすがに守備範囲外,2018/11/10 13:26:30
