スレ数,ID,コメント,投稿時刻
15,ID:L6GXknidM,更新感覚どんどん伸びてるんだな…  進むに連れ矛盾が出て来ないかのすり合わせとかフラグ回収とか大変そう,2018/11/22 7:49:06
16,ID:WgTL7wXpd,つくし卿「ご安心下さい、今年中にあと二回更新しますよ」,2018/11/22 7:53:42
17,ID:mXVWeenf0,11/30と12/30かな,2018/11/22 9:01:31
18,ID:Aq8BMGNf0,>>17  今年中とは2018なのか4018なのか,2018/11/22 10:28:06
19,ID:dFx+BVRw0,>>19  流石に2000周期を今年とは言わんだろ,2018/11/22 12:09:50
20,ID:ys5HdU9ap,お前らも乙っとけ～,2018/11/22 15:53:00
21,ID:V62/DnqLa,つくし卿は4月始まりかもしれん,2018/11/22 16:54:38
22,ID:V62/DnqLa,大阪で人生やり直すことにした  https://i.imgur.com/aysSFym.png,2018/11/22 17:30:17
23,ID:V62/DnqLa,誤爆した,2018/11/22 17:33:11
24,ID:jacC66HI0,現代のガンジャ隊かな？,2018/11/22 17:33:21
25,ID:E/rxEom30,あいりん地区の宿屋みたいな写真なんだが（大阪…）,2018/11/22 17:43:05
26,ID:C+SOKkv80,綺麗なドヤだな,2018/11/22 18:02:33
27,ID:TDKtoO/0d,>>23  肉便器どこにあるの？,2018/11/22 18:03:41
28,ID:dYOw1n73a,>>23  机にせんねん灸置いてなぁい？,2018/11/22 18:11:55
29,ID:JcGWeHoI0,じゃあ奈落と一緒だな,2018/11/22 18:15:43
30,ID:x19qFKWxM,>>23  はにーすく？,2018/11/22 18:24:23
31,ID:II0rKudCa,メイドインアビスの世界に転生して俺TUEEEできるかと思ったら  手違いでマアアさんのケツに転生してしまって絶望したいなぁ俺もなぁ……,2018/11/22 18:32:39
32,ID:Q8VjcM5x0,>>23  刑務所かな？,2018/11/22 18:36:19
33,ID:0RvbN53Ra,メイドインアビスの世界に転生して右も左も分からずさ迷っていたら黎明卿というお優しい人に拾われました,2018/11/22 18:36:23
34,ID:xY0jCeeQM,>>23  まじでこんな家あんの…,2018/11/22 18:45:24
35,ID:VJg0EJ110,どっからどう見ても鑑別所やん,2018/11/22 18:54:40
36,ID:E/rxEom30,>>35  家じゃなくて簡易宿所だぞ,2018/11/22 19:02:59
37,ID:4+Gb+GkR0,>>23  日当たり良いし壁とか綺麗そうじゃん  ただカーテンも布団もペラペラなのは悲しい  凍死しそう,2018/11/22 19:03:53
38,ID:mZt9VPau0,>>38  大阪で凍死なんかするもんか  群馬の社宅は部屋の中に氷柱が垂れてたぞ  欠陥住宅過ぎる,2018/11/22 19:09:05
39,ID:x19qFKWxM,ドヤってはじめて聞いたからググってみたら実在するみたい,2018/11/22 19:24:37
40,ID:YpDBanWyd,防寒だけしっかりすれば割と快適そう  個人的な感覚では虫飛びまくりの成れ果て村宿屋よりマシ,2018/11/22 19:25:19
41,ID:0RvbN53Ra,どんな誤爆でも話題を広げられるアビススレ,2018/11/22 19:26:13
42,ID:II0rKudCa,>>41  メポポホンさんがいないからなれはて村の宿屋未満だぞ,2018/11/22 19:27:35
43,ID:K8gymsPGd,オースの刑務所は酷い所だったよ,2018/11/22 19:27:43
44,ID:xGVkMx3sM,裸吊り経験者か？,2018/11/22 19:43:16
45,ID:E/rxEom30,関東人関西人曰く雨風しのげればなんとかなるらしい  東北北海道は高い気密性や二重窓がないと凍えて死ぬ  アビス？シラネ,2018/11/22 19:44:42
46,ID:cIxuwIFU0,アビスの牢屋は鉄格子の籠に入れられて鎖で穴に吊るされる  一日3回食事で地上に吊り上げられるけど上昇負荷でそれどころじゃない,2018/11/22 19:49:11
47,ID:0RvbN53Ra,極刑は簀巻きで動けない状態にしてアビスに放置   罪人と言えど奈落で死なせてやるのがオースなりのせめてもの温情,2018/11/22 19:55:38
48,ID:vF93MozOa,習近平  https://youtu.be/NBjz0khQGKM,2018/11/22 20:15:30
49,ID:ZHW5wxoX0,>>23  大阪日本橋はオタクの聖地なので是非お願いします  あそこで揃わない物は生活必需品や趣味物含めて存在しない,2018/11/22 20:43:14
50,ID:idp2VYz90,11月更新なかったけど  12月大晦日と年明けに連続更新するために溜めてるのかな,2018/11/22 21:43:17
51,ID:1U6RZVbD0,つくしはちからをためている,2018/11/22 21:58:45
52,ID:E/rxEom30,更新ダメみたいですね…,2018/11/22 22:00:00
53,ID:1U6RZVbD0,>>53  つくし卿のつくしを信じろ,2018/11/22 22:12:20
54,ID:kgdreYwO0,今年二回更新するんだから大丈夫大丈夫～,2018/11/22 22:55:14
55,ID:wO6ewfhc0,今年度二回更新の間違いでしたｗｗｗ  にならない事を祈る,2018/11/22 23:07:20
56,ID:EH641D9y0,つくしを信じろ,2018/11/22 23:16:39
57,ID:aHzG+6Rh0,大晦日ミーティ「私たちを騙してたの…？」,2018/11/22 23:44:45
58,ID:ZHW5wxoX0,とんでもない  この更新の果てに奈落の闇を払うヒントが生まれるのです  あなた方のお陰ですよ   さあ次の年号に踏み入る準備は整いました  共に年明けを見届けましょう,2018/11/22 23:50:36
59,ID:O9eBavR9p,ドシガタ展開2連発で悶々としながら年が明けてその次が2ヶ月後くらいになるのか  ありだな,2018/11/23 0:10:09
60,ID:WdZmsVsW0,新たなる年号…？  「平成帝 やんごとなきアキヒト」  を考えるに、次は土筆元年ではないか？,2018/11/23 4:17:01
61,ID:M2ouXlKe0,つくしの描く大人な可愛い子が見たい  まじあの画力で子供ばっかりもったいなさすぎて  ライザはよ出てきて  エロコは目が暗いからいいや,2018/11/23 6:00:28
62,ID:0T9bcH6M0,オーゼンで我慢しろ,2018/11/23 8:34:14
63,ID:EL7LW3Kz0,ミオ先生ではダメなのか  俺は大好きなんだが,2018/11/23 8:41:37
64,ID:yBAtgIhca,【速報】ゾンビランドサガで男の娘判明,2018/11/23 9:29:25
65,ID:DT66PhjG0,もぐもぐミオ先生きゃわわ,2018/11/23 9:29:30
66,ID:NSB719EGd,この人、絵うっま！と思ったきっかけはハボさんだったなぁ  大人キャラも可愛いですよね,2018/11/23 9:48:32
67,ID:atq8tlEy0,>>65  ネタバレやめれ,2018/11/23 10:08:31
68,ID:CkVD/C1l0,大当たりktkr  https://i.imgur.com/AeYeDYD.jpg,2018/11/23 10:09:27
69,ID:K8bBRnTX0,ハボさんみたいな体格だとあの狭い街でいろいろ苦労しそう  ナナチ達を迎えに来た祈手一行にもすごい巨体の人がいてリコが昇った階段なんか詰まって通れない,2018/11/23 10:41:57
70,ID:IiFvSAK6a,ハボさんって男にモテそう。,2018/11/23 10:59:38
71,ID:GC+nOsUHr,いるかどうかわからんけど  ハボさんの白笛になるのはハボさんを慕う屈強な漢共の一人だと思う  奥さんは白笛にはしないだろう,2018/11/23 11:50:18
72,ID:nqgTjwmqa,ホモじゃないけどハボさんならハボれる,2018/11/23 11:51:18
73,ID:2rkIjJJe0,ハボさん面倒見いいし近所の子供とか新人に慕われてそう,2018/11/23 12:08:33
74,ID:CTucYL2y0,ホモさんのことハボって言うの止めろよ！,2018/11/23 12:14:14
75,ID:IiFvSAK6a,ハボさんの白笛・・随分立派にそそり立ってそう,2018/11/23 12:19:51
76,ID:M2BWvASHd,即ハボ卿オッスオッス,2018/11/23 12:34:10
77,ID:Emy6M37u0,>>23  寝るだけの部屋なら充分だな,2018/11/23 12:55:19
78,ID:/bSBt33v0,>>48  どうせ死刑にするなら黎明卿に有効活用してもらった方がよくなぁい？,2018/11/23 14:17:43
79,ID:sr6ZlQKwH,黎明卿が死刑に値するんなよなぁ,2018/11/23 14:18:43
80,ID:PGXBG930a,からくてみみいたい,2018/11/23 14:24:58
81,ID:LMG+ncEm0,>>69  ダメだな  まるで性癖を感じん  普通のエロ漫画と変わらん,2018/11/23 15:04:08
82,ID:K8bBRnTX0,ビキニ鎧の呪縛ってなかなか解けないもんだね需要があるんだろうけど  ドアビートルに乳首出し鎧を描いていたんだしそっちに逝くべきなのに,2018/11/23 15:27:29
83,ID:OFG45bOW0,久しぶりに来たら更新してた！  ベラフさんかっけーなおい,2018/11/23 16:18:48
84,ID:LMG+ncEm0,何ヶ月来てないんだよ,2018/11/23 16:24:04
85,ID:nYeLXiveM,>>69  女じゃん,2018/11/23 16:44:50
86,ID:U4nKKsR7M,もう待たされすぎて48話のエロコさんの顔に軽く憎しみを覚えるようになっちゃうよね  でも来年までに2話出るってわかってとりあえず落ち着いた感はあるね,2018/11/23 16:51:32
87,ID:K8bBRnTX0,ヴエコの口の線がモニョモニョしてるのは自信の無さなのか  大してリコはピシッとした線で描かれ一本気なとこが良く判る,2018/11/23 16:57:22
88,ID:4d7bTi+P0,何も考えて無さそうな顔,2018/11/23 18:15:37
89,ID:DlavXGSwa,リコさんはｷﾘｯとしてるけどやっぱ考えてる顔ではないんだろうな,2018/11/23 18:23:49
90,ID:ZSwomkSQK,やはりリコさんはヒーロー！,2018/11/23 18:32:01
91,ID:Ca7vYMQ50,チートじみた性能のレグが全力で逃げても追い付かれるレベルで素早いハボさんって地味に化け物だよね  腕を40m、両手合わせりゃ80m伸ばせるレグ以上の速度でどうやって降下してきてるんだよ,2018/11/23 18:41:48
92,ID:K8bBRnTX0,ハボさんは降りるのは早いけど登るときは人一倍大変だろうにね  二層までならどうという事はないだろうけど三層じゃ穴に詰まっちゃったりしそう,2018/11/23 18:47:10
93,ID:LMG+ncEm0,>>92  初めて通った道でリコさん連れてりゃ全力で逃げる訳にも行かんだろ  縦穴だけじゃないんだし,2018/11/23 18:47:58
94,ID:tpfqEkfAK,平成から来ました  更新はされてました,2018/11/23 18:48:21
95,ID:Ca7vYMQ50,>>93  普通の探窟家は一体どうやって大断層を越えてるんだろうか  子供じゃなきゃまともに入れないような横穴しかない上に横穴同士も完全に繋がってるわけじゃないのに   オーゼンさんとかただですらデカい上に巨大な呪い避けの籠をかついだ状態で、しかも上昇負荷を受けながら登る様子が想像もつかん,2018/11/23 18:57:34
96,ID:pyQsjzF30,>>92  ポテンシャルがチートレベルってだけだと思うな  ぬるぬるレグは普通レグを上回る訳だし  普通レグはそんなでもない,2018/11/23 19:04:44
97,ID:LMG+ncEm0,>>95  元号が更新されてないようだが,2018/11/23 19:47:56
98,ID:LMG+ncEm0,>>96  フリーフォールしながらチクワをデコピンとか、直行便に乗ってさおはぶとかバンジーとか？  まあマジレスとして籠担いでもっとデカイ生物の巣穴を登ったんだろうな,2018/11/23 19:51:43
99,ID:dSO/B6ZJa,>>96  さすがにどっかに大人でも通れるデカイ縦穴あるんじゃないかな  マドカジャクやチクワいるなかゴンドラ(人力)降下なんて真似ボくらいしかしないだろうし,2018/11/23 19:55:19
100,ID:aFiw9IwbM,>>98  過去形だぞ,2018/11/23 19:56:31
101,ID:K8bBRnTX0,ライザの遺品を回収してきたハボさん達はチームだったし三層以降は基本チームで動かないと厳しそう  長いロープでぶら下がったら本人の他に原生動物からロープを守る人間が必要だし  でも四層で単独行動していた黒笛がいるし描かれていない対処法がありそう,2018/11/23 20:19:06
102,ID:N7Q3JsOYr,ライザの遺品はオーゼンが回収してきたのを監視基地でハボさんに渡したんじゃなかったっけ？,2018/11/23 20:43:19
103,ID:3fKWjVO20,>>103  そうだよ,2018/11/23 21:19:19
104,ID:om80rmuu0,オースの全景を見る限り、アビスの入口は  絶対1000m以上ある気がする,2018/11/23 21:54:45
105,ID:M2BWvASHd,あったかいウォッシュレットがおちりにあたって  下痢リコ並の表情してるナナチください,2018/11/23 22:16:11
106,ID:DT66PhjG0,自分で描けるようになってつくしのアンブラハンズの仲間入り果たして更新頻度上げてきてどうぞ,2018/11/23 22:24:52
107,ID:sr6ZlQKwH,>>106  んなちぃ！,2018/11/23 22:37:26
108,ID:M2ouXlKe0,49話は、イルブルを発見した時とワズキャンとブレフが自分の価値を村に還元する経緯、エロコさんは何でヒトであることを選び捕まっていたのか、ファプタの願いや記憶を掘り起こすところくらいまでで話も進まず終わりかなぁ   50話でファプタの腕と引き換えにナナチを返してもらって、そこからリコとファプタのレグの取り合いが起きてレグがイルブルを根絶やしにする、かどうかはわからんがリコを選んで終わりって感じかなぁ  いずれにしろ来年の51話から7層編スタートだよね,2018/11/23 23:22:58
109,ID:4d7bTi+P0,まああああああああああああああああ！,2018/11/23 23:26:35
110,ID:M2ouXlKe0,と書いておきながら全然違う進行だと嬉しい  あと、ファプタとエロコさんが旅の仲間に加わるのかどうかだなぁ,2018/11/23 23:28:58
111,ID:M2ouXlKe0,どっちにしろもうイルブルの話はほぼ終盤、まああさんともお別れのときは近いね,2018/11/23 23:30:51
112,ID:ioC3FEIqa,終盤かなあ…過去回想やった後に二転三転しそうだけど  まだイルブル編のラスボスもミエテナイシ,2018/11/23 23:31:56
113,ID:EL7LW3Kz0,まあああああああああああああああチャパパパ,2018/11/23 23:32:15
114,ID:M2ouXlKe0,>>113  してくれても良いけどもう出切った感もないかい？  ラスボスはやっぱイルブル、1割の意味の母って事なんじゃないかなぁ  ファプタがラスボスだったら嫌でしょ？  愉快な仲間たちとしてボ卿のところみたく残ってくれてた方がロマンはあるけどさ,2018/11/23 23:35:37
115,ID:OlPT1Mun0,まぁ＾～,2018/11/23 23:37:38
116,ID:Lb0usBQo0,前線基地破壊して絶界行  イルブル破壊して更に深部へ   そんなことばっかしてたら殲滅卿の名を襲名してしまう,2018/11/23 23:38:44
117,ID:ioC3FEIqa,四層でもミーティ撃破したしな  二層でも監視基地破壊しておくべきだったんじゃないの？,2018/11/23 23:55:15
118,ID:OROozdRir,天井に穴くらいは空けてただろ  地上で暮らせないマルルクの居場所なんだからそれで勘弁してやって,2018/11/24 0:02:41
119,ID:6YRRBRUga,床「」,2018/11/24 0:11:51
120,ID:mOAJnnvH0,ワズキャンのカリスマと実行力、ベラフの不屈はリコさんと似ているのになぜあんなになってしまったのか,2018/11/24 0:57:20
121,ID:5y6SRjQjH,脱糞も厭わぬ熱意だろうな,2018/11/24 0:58:22
122,ID:Q6ZoSWix0,正直エロコさんの事はファプタが助け出してあげても良かったと思うんだが…人間仲間ってことで憎んでるのか,2018/11/24 1:06:23
123,ID:5y6SRjQjH,レグを絞るライバルはこれ以上いらんそす,2018/11/24 1:10:48
124,ID:Cui2usm20,ファプタがナナチの代わりになるそす  んなぁそす,2018/11/24 1:39:04
125,ID:ovjSWc1Wa,ふわふわは二人もいらんそす。客寄せパンダの招きナナチはもう用済みそす,2018/11/24 1:54:59
126,ID:Q6ZoSWix0,今思ったんだけどぉ  古代語を話すイルブルの奴らはアビス原住民なんか？  ワズキャンたちと一緒に来たのはヒトで現代語を話すんだよねぇ  でもこのイルブルを作ったのは3賢だっていうし  そうすると後から入ってきた原住民が村の住人て事になるよね  と言ってもヴエコ達の言葉も二千年以上前の言葉のはずで本来ならリコたちともすんなり話せなさそうなんだけど   あとそれだとファプタは踏みにじってきた人間達を根絶やしにするのが願いだと思ってたけど、命はなくて人間性だけになってる原住民をナナチのミーティ的に解放してあげたいのかも？それとも憎い3賢や人間だけを根絶やしにしたいのか、あ～わからなくなってきた,2018/11/24 2:21:52
127,ID:PkUC6nKr0,上昇負荷のフルコンプを目指してるリコさんは6層の上昇負荷で猫耳とかにでもなるんじゃろか  それとも既に死んでるから人間じゃない判定なのか…,2018/11/24 3:10:09
128,ID:PbcEwxBc0,>>69  なんつー魅力のない絵だ,2018/11/24 3:12:19
129,ID:TbFA6yz40,まああさんの人間だった時の過去回とかだったら流石にびっくりする,2018/11/24 4:37:11
130,ID:SJ5dOms00,まああさんの再生力の謎,2018/11/24 4:45:32
131,ID:J5Exs/bH0,>>127  「割と長くいる」「三賢については誰も教えてくれなかった」程度のムーギィ姐さんとカジャが現代オース語を話せるので、学習する事は当たり前の模様  一方でまああさんの様に語彙すらも失われている者も多く、知識を蓄積していく成れ果てと、知識を失って行く成れ果ての二種類が存在する様だ  多分、金に困って過去の記憶を「永久に還元」して食いつないでいる説を推す,2018/11/24 6:54:53
132,ID:2sQdLNV7a,最終話でリコさんに制覇卿とか踏破卿とか到達卿とかそんな異名付いてたら胸熱,2018/11/24 8:25:47
133,ID:XjKEiiXI0,マルルクにちんこ踏破して欲しい,2018/11/24 8:52:11
134,ID:WFIdrtRX0,制服卿に見えた,2018/11/24 8:56:34
135,ID:nGqeMcBd0,○○卿って称号を正式にもらうにはオースに伝報船で情報が届かないとダメだし  出発時点で白笛じゃないと何を届けても認められないんだから厳しいね  年老いたキユイがリコの手紙を手に、リコさん、あんた○○卿だよ…という事ならアリかな,2018/11/24 9:02:45
136,ID:fwNlszVa0,ぼっさんによってラストダイブでエレベーターに野糞したことが伝えられ公式に脱糞卿になる,2018/11/24 11:21:42
137,ID:IwyWq63Xd,ファプタかエロコ、どちらかがリコさん隊に入隊するなら、ファプタが有力かな  レグは右腕 リコは左腕 ナナチは成れ果て  何かしら障害を持ってないと入隊資格はない。ファプタは何と脳が露出しちゃう程の障害持ち,2018/11/24 11:56:31
138,ID:30yA9+sdp,ナナチアウトファプタイン  ナナチは今度こそミーティと死ぬか永遠の安寧を一緒に過ごすかだな   リコさんはプルシュカの時でさえあれだからナナチ死んじゃったら前に進めないかもだけどそれでも憧れは止められなくて以下略   レグはファプタといちゃこらいちゃこら  ナナチの時は積極的にふわふわを堪能してたけどファプタとは距離が近すぎて戸惑いつつもうんぬんかんぬん,2018/11/24 12:17:22
139,ID:wyTD00V50,ファプタが仲間になったら上昇負荷無視が二人になっちゃうし流石に強パーティ過ぎる,2018/11/24 12:25:20
140,ID:I3pSeD+o0,>>136  作中でそんな事言ってた覚えがないんだけどそんなんあったっけ？  白笛が国に認められたヒーローってのはあったが,2018/11/24 12:31:08
141,ID:LkCwHRBs0,話し変わるけどワンホビでねんどろリコとレグ公開されたけど出来よさそうね  レグの乳首までちゃんと再現されてるみたいだし,2018/11/24 12:39:24
142,ID:LkCwHRBs0,※140  もしろそこまでやらないとこの先は無理だよ、って説得力は出ると思う、多分,2018/11/24 12:43:37
143,ID:5RDQ/y1Qd,>>69  まあこれはこれで,2018/11/24 12:45:25
144,ID:Cw1t3cdL0,いいわけないでしょ！って言ってたリコサンがナナチを置いていくとは思えんがな,2018/11/24 12:47:23
145,ID:NLYdoG4+0,レグにちゅーされて正気に戻るよ  オイラ知ってんだ,2018/11/24 12:59:14
146,ID:1lmCOJ/+d,やっぱり村(システム)が崩壊するような事態になるんじゃないかな。,2018/11/24 13:16:08
147,ID:jqPSilQk0,>>141  シギー「白笛以外の伝報船が届いたとしても噂どまり。白笛の情報だけが真実になる」  うるおぼえだけどこんな感じだったよね。  詳しくは1巻を読み返してくれ。  このくだり、つまり白笛がうっかりラリッた状態で届けた情報も事実認定されてしまうんだなって思ったよね。   30日には更新あるって信じていいんだよね・・・？  なまじわかってるとソワアってなって落ち着かない・・・,2018/11/24 14:19:04
148,ID:Cdj8mohJ0,>>147  多分そうだろうね  まああ、エロ子達が崩れていく  って悲劇,2018/11/24 14:26:47
149,ID:6IW5Avyn0,探窟協会的には赤笛のままのリコさんがイルぶるでの新発見やら黄金郷やら奈落の至宝やらプル笛やらの情報を届けてもなんの信憑性も実績にもならないから白笛認定にはなりようもない  つまり名実ともにリコさんが白笛になるには確固たる信頼筋からのお墨付きが必要なわけだけど  実はもうお墨付きは貰っているも同然なので後は彼らの動き次第だというね,2018/11/24 15:00:23
150,ID:nshPgNH80,( | )　＜　私が探掘協会に口添えしますよ  　　　 　　リコは正真正銘の白笛です  　　　 　　ちなみにリコの白笛は、私の愛娘です,2018/11/24 15:38:40
151,ID:5RDQ/y1Qd,ラストは白笛になったリコレグナナチを讃える銅像が建って終わりだよ,2018/11/24 15:44:28
152,ID:kBHb/0uIM,>>149  でもあの世界のみんなが居なくなるのは寂し過ぎる  まああさんの満足そうな顔とか   ファプタはレグがハクを持ってくるのを待ってたんだよね  オーバードの宝物っていう特大価値が何かに関係するんだよね,2018/11/24 16:00:33
153,ID:cdViB5Ki0,ボ卿から正式に｢絶界行をした、途中で脱糞した｣と届出が出てそう  あと監視の正式申請,2018/11/24 16:09:49
154,ID:6IW5Avyn0,6層から黄金(意味深)を届けましたよ  ってボが広めちゃうんでしょ知ってる,2018/11/24 16:11:28
155,ID:7xjA5oDyM,ナナチを死なせたら今度こそ漫画が終わってしまう,2018/11/24 16:31:28
156,ID:YVswazv8M,>>151  主犯はこいつなのに  リコさんは廃品利用しただけなのに,2018/11/24 16:32:55
157,ID:wzdDO8rE0,満足気な顔のマアアさんがサラサラ消えて行く展開は負荷がキツそうだな…   しかしマアアさんはメイニャのお尻に執着してるが命の紋的な物が見えていたりするんだろうか？   俺もマルルクの命の紋を確認したい  見たい舐めたい突き入れたい,2018/11/24 16:34:25
158,ID:YEwyJIj60,レグとか言う先々で施設破壊していくやべー奴,2018/11/24 16:42:21
159,ID:MC3KJCWi0,>>148  それは笛が上がった時点で真実になるって事だろ  出発時点で白笛でなくても本人と分かる要素があれば認定は可能  笛を手放すという事はほぼ探索が手詰まりという事を意味してるが,2018/11/24 16:44:29
160,ID:QOffUwdM0,（θωθ）んなぁ～ん？,2018/11/24 19:21:47
161,ID:JVBuIV+t0,最近↑の顔文字ですら可愛く見える様になってきた  ナナチ中毒過ぎてやばい,2018/11/24 19:30:32
162,ID:oxoM3mtIp,ナナチは可愛いという情報を伝報船で飛ばすためだけに白笛になりたい,2018/11/24 19:30:36
